,id,price,beds,baths,sqft,address,postal_code,state,city
0,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
1,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
2,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
3,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
4,3948887720,795000,3,3,2505.0,200 Montauk St,11580,NY,Valley Stream
5,3931673484,1299000,3,3,1837.0,61 Orchard Farm Rd,11050,NY,Port Washington
6,4946629617,699000,2,2,2061.0,717 W Park Ave,11561,NY,Long Beach
7,3893813732,379990,1,1,900.0,703 Wantagh Ave Unit 703,11793,NY,Wantagh
8,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
9,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
10,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
11,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
12,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
13,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
14,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
15,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
16,4060395644,829000,6,3,,94 W Choir Ln,11590,NY,Westbury
17,3942169181,1288000,3,3,2100.0,118 Overlook Ter,11577,NY,East Hills
18,4902996396,1698888,5,3,,30 Virginia St,11580,NY,Valley Stream
19,3423431633,798000,5,3,,8 1st St,11563,NY,Lynbrook
20,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
21,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
22,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
23,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
24,3948887720,795000,3,3,2505.0,200 Montauk St,11580,NY,Valley Stream
25,3931673484,1299000,3,3,1837.0,61 Orchard Farm Rd,11050,NY,Port Washington
26,4946629617,699000,2,2,2061.0,717 W Park Ave,11561,NY,Long Beach
27,3893813732,379990,1,1,900.0,703 Wantagh Ave Unit 703,11793,NY,Wantagh
28,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
29,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
30,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
31,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
32,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
33,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
34,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
35,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
36,4060395644,829000,6,3,,94 W Choir Ln,11590,NY,Westbury
37,3942169181,1288000,3,3,2100.0,118 Overlook Ter,11577,NY,East Hills
38,4902996396,1698888,5,3,,30 Virginia St,11580,NY,Valley Stream
39,3423431633,798000,5,3,,8 1st St,11563,NY,Lynbrook
40,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
41,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
42,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
43,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
44,3948887720,795000,3,3,2505.0,200 Montauk St,11580,NY,Valley Stream
45,3931673484,1299000,3,3,1837.0,61 Orchard Farm Rd,11050,NY,Port Washington
46,4946629617,699000,2,2,2061.0,717 W Park Ave,11561,NY,Long Beach
47,3893813732,379990,1,1,900.0,703 Wantagh Ave Unit 703,11793,NY,Wantagh
48,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
49,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
50,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
51,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
52,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
53,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
54,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
55,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
56,4060395644,829000,6,3,,94 W Choir Ln,11590,NY,Westbury
57,3942169181,1288000,3,3,2100.0,118 Overlook Ter,11577,NY,East Hills
58,4902996396,1698888,5,3,,30 Virginia St,11580,NY,Valley Stream
59,3423431633,798000,5,3,,8 1st St,11563,NY,Lynbrook
60,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
61,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
62,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
63,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
64,3948887720,795000,3,3,2505.0,200 Montauk St,11580,NY,Valley Stream
65,3931673484,1299000,3,3,1837.0,61 Orchard Farm Rd,11050,NY,Port Washington
66,4946629617,699000,2,2,2061.0,717 W Park Ave,11561,NY,Long Beach
67,3893813732,379990,1,1,900.0,703 Wantagh Ave Unit 703,11793,NY,Wantagh
68,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
69,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
70,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
71,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
72,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
73,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
74,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
75,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
76,4060395644,829000,6,3,,94 W Choir Ln,11590,NY,Westbury
77,3942169181,1288000,3,3,2100.0,118 Overlook Ter,11577,NY,East Hills
78,4902996396,1698888,5,3,,30 Virginia St,11580,NY,Valley Stream
79,3423431633,798000,5,3,,8 1st St,11563,NY,Lynbrook
80,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
81,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
82,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
83,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
84,3948887720,795000,3,3,2505.0,200 Montauk St,11580,NY,Valley Stream
85,3931673484,1299000,3,3,1837.0,61 Orchard Farm Rd,11050,NY,Port Washington
86,4946629617,699000,2,2,2061.0,717 W Park Ave,11561,NY,Long Beach
87,3893813732,379990,1,1,900.0,703 Wantagh Ave Unit 703,11793,NY,Wantagh
88,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
89,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
90,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
91,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
92,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
93,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
94,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
95,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
